name	dist_sep	flux	flux_err	eflux	eflux_err	index	index_err	gal_pref	gal_pref_err	iso_norm	iso_norm_err	flux_ul	eflux_ul	TS
J2352.9-1136	0.032	5.78e-11	1.82e-11	9.38e-07	4.09e-07	1.62	0.17	0.94	0.08	0.99	0.1	8.75e-11	1.42e-06	39.77
GT1237664877803077714	0.462	1.23e-10	2.93e-11	2.78e-07	8.05e-08	2.78	0.35	1.01	0.07	0.93	0.09	1.71e-10	3.89e-07	28.68
GZ587742060519489665	0.098	1.29e-10	3.2e-11	3.42e-07	1.06e-07	2.58	0.31	1.06	0.07	0.96	0.11	1.81e-10	4.81e-07	28.2
RCS1645_10412	0.252	1.63e-10	3.72e-11	3.74e-07	9.92e-08	2.76	0.29	1.0	0.05	1.0	0.07	2.23e-10	5.13e-07	27.52
RCS1303_07302	0.481	2.52e-10	5.97e-11	5.75e-07	1.39e-07	2.77	0.16	0.87	0.03	1.1	0.08	3.5e-10	7.97e-07	26.86
RCS2329_14411	0.144	1.04e-10	3.36e-11	4.17e-07	1.48e-07	2.24	0.26	0.92	0.05	1.0	0.1	1.54e-10	6.16e-07	26.5
RCS2143_12345	0.087	5.88e-11	2.14e-11	7.66e-07	3.63e-07	1.7	0.2	1.08	0.03	0.79	0.09	9.26e-11	1.21e-06	25.19
GZ588017729228177602	0.207	7.89e-11	2.45e-11	6.19e-07	2.87e-07	1.9	0.21	0.96	0.06	1.05	0.12	1.19e-10	9.33e-07	25.03
GZ587741720675876920	0.468	5.37e-11	2.06e-11	4.43e-07	2.13e-07	1.88	0.23	0.96	0.06	1.15	0.06	8.55e-11	7.05e-07	24.72
GT1237667212136284360	0.494	9.3e-11	2.58e-11	2.6e-07	8.4e-08	2.52	0.29	1.16	0.11	1.02	0.11	1.35e-10	3.78e-07	24.61
GZ587745539437822055	0.325	9.5e-11	3.1e-11	4.19e-07	1.71e-07	2.18	0.27	1.03	0.05	0.99	0.11	1.42e-10	6.26e-07	24.1
