                       name  dist_sep          flux      flux_err         eflux     eflux_err  index  index_err  gal_pref  gal_pref_err  iso_norm  iso_norm_err       flux_ul      eflux_ul     TS
0             RCS2338_14991     0.032  5.780000e-11  1.820000e-11  9.380000e-07  4.090000e-07   1.62       0.17      0.94          0.08      0.99          0.10  8.750000e-11  1.420000e-06  39.77
1     GT1237664877803077714     0.462  1.230000e-10  2.930000e-11  2.780000e-07  8.050000e-08   2.78       0.35      1.01          0.07      0.93          0.09  1.710000e-10  3.890000e-07  28.68
2      GZ587742060519489665     0.098  1.290000e-10  3.200000e-11  3.420000e-07  1.060000e-07   2.58       0.31      1.06          0.07      0.96          0.11  1.810000e-10  4.810000e-07  28.20
3             RCS1645_10412     0.252  1.630000e-10  3.720000e-11  3.740000e-07  9.920000e-08   2.76       0.29      1.00          0.05      1.00          0.07  2.230000e-10  5.130000e-07  27.52
4             RCS1303_07302     0.481  2.520000e-10  5.970000e-11  5.750000e-07  1.390000e-07   2.77       0.16      0.87          0.03      1.10          0.08  3.500000e-10  7.970000e-07  26.86
5             RCS2329_14411     0.144  1.040000e-10  3.360000e-11  4.170000e-07  1.480000e-07   2.24       0.26      0.92          0.05      1.00          0.10  1.540000e-10  6.160000e-07  26.50
6             RCS2143_12345     0.087  5.880000e-11  2.140000e-11  7.660000e-07  3.630000e-07   1.70       0.20      1.08          0.03      0.79          0.09  9.260000e-11  1.210000e-06  25.19
7      GZ588017729228177602     0.207  7.890000e-11  2.450000e-11  6.190000e-07  2.870000e-07   1.90       0.21      0.96          0.06      1.05          0.12  1.190000e-10  9.330000e-07  25.03
8      GZ587741720675876920     0.468  5.370000e-11  2.060000e-11  4.430000e-07  2.130000e-07   1.88       0.23      0.96          0.06      1.15          0.06  8.550000e-11  7.050000e-07  24.72
9     GT1237667212136284360     0.494  9.300000e-11  2.580000e-11  2.600000e-07  8.400000e-08   2.52       0.29      1.16          0.11      1.02          0.11  1.350000e-10  3.780000e-07  24.61
10     GZ587745539437822055     0.325  9.500000e-11  3.100000e-11  4.190000e-07  1.710000e-07   2.18       0.27      1.03          0.05      0.99          0.11  1.420000e-10  6.260000e-07  24.10
11     UN588017111824072802     0.414  4.800000e-11  1.920000e-11  3.540000e-07  1.760000e-07   1.92       0.25      1.11          0.13      0.87          0.12  7.750000e-11  5.710000e-07  23.61
12    GT1237651250964004981     0.434  9.380000e-11  2.350000e-11  1.900000e-07  5.330000e-08   2.97       0.38      1.21          0.10      0.93          0.10  1.340000e-10  2.700000e-07  23.60
13            RCS2338_14117     0.136  5.720000e-11  2.080000e-11  5.610000e-07  2.760000e-07   1.80       0.21      1.13          0.06      0.74          0.09  9.090000e-11  8.910000e-07  23.55
14            RCS2143_11750     0.279  1.350000e-10  3.620000e-11  3.340000e-07  9.940000e-08   2.66       0.31      1.05          0.03      0.87          0.09  1.940000e-10  4.790000e-07  23.44
15     GZ587741533324378159     0.324  8.910000e-11  2.560000e-11  2.540000e-07  8.470000e-08   2.50       0.30      1.24          0.11      0.95          0.12  1.310000e-10  3.730000e-07  23.29
16     GZ587742863672606829     0.349  4.120000e-11  1.810000e-11  5.210000e-07  2.830000e-07   1.71       0.25      1.11          0.06      1.18          0.07  6.830000e-11  8.650000e-07  23.26
17                    MN614     0.259  7.830000e-11  2.230000e-11  2.050000e-07  6.750000e-08   2.59       0.36      1.11          0.10      0.92          0.10  1.130000e-10  2.970000e-07  22.96
18            RCS0310_03910     0.123  7.640000e-11  2.950000e-11  4.400000e-07  1.970000e-07   2.04       0.27      1.01          0.03      0.91          0.06  1.180000e-10  6.810000e-07  22.92
19            RCS0047_00331     0.016  1.230000e-10  3.360000e-11  2.910000e-07  9.170000e-08   2.72       0.36      0.93          0.04      1.13          0.06  1.780000e-10  4.220000e-07  22.58
20     GZ587745540509663547     0.396  5.520000e-11  1.990000e-11  5.900000e-07  2.570000e-07   1.77       0.13      1.00          0.03      1.10          0.06  8.980000e-11  9.600000e-07  22.26
21     UN588017113984336031     0.388  2.550000e-11  1.490000e-11  5.690000e-07  3.290000e-07   1.50       0.31      0.69          0.06      1.21          0.07  4.430000e-11  9.900000e-07  22.24
22     UN587739379911229563     0.303  6.940000e-11  2.340000e-11  3.000000e-07  1.300000e-07   2.19       0.29      0.61          0.05      1.32          0.05  1.050000e-10  4.560000e-07  22.07
23     UN587736751929753731     0.245  8.520000e-11  2.450000e-11  2.300000e-07  7.710000e-08   2.56       0.32      0.84          0.05      1.16          0.06  1.250000e-10  3.380000e-07  22.04
24     GZ587729386078994502     0.459  7.520000e-11  2.100000e-11  2.040000e-07  7.010000e-08   2.56       0.32      1.16          0.09      0.95          0.08  1.100000e-10  2.970000e-07  21.98
25     GZ587739115772445135     0.074  6.620000e-11  2.490000e-11  4.750000e-07  2.350000e-07   1.94       0.26      1.14          0.05      0.86          0.11  1.040000e-10  7.450000e-07  21.88
26            RCS1040_06220     0.436  6.080000e-11  1.920000e-11  2.690000e-07  1.130000e-07   2.18       0.24      0.96          0.08      0.92          0.07  9.250000e-11  4.080000e-07  21.56
27     UN588017603606151307     0.302  4.290000e-11  1.970000e-11  4.230000e-07  2.270000e-07   1.80       0.27      1.21          0.11      0.91          0.11  7.090000e-11  6.980000e-07  21.44
28     GZ588017110762520671     0.220  7.630000e-11  2.260000e-11  2.290000e-07  8.630000e-08   2.46       0.33      1.25          0.11      0.84          0.10  1.130000e-10  3.390000e-07  21.43
29     GZ587724197207670886     0.100  8.080000e-11  3.050000e-11  3.930000e-07  1.640000e-07   2.12       0.27      1.19          0.04      0.73          0.10  1.250000e-10  6.090000e-07  21.30
